,Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,species,WB,Family
35,(Intercept),-0.844478491,0.115178982,-7.331880147,2.27E-13,0.053111165,8770,TRUE,Eastern_Spinebill,0,
36,before.afterBefore,0.133754068,0.118300368,1.130631039,0.258210418,0.053111165,8770,TRUE,Eastern_Spinebill,0,
37,(Intercept),-1.328715827,0.129686128,-10.24562799,1.24E-24,0.054042638,8770,TRUE,Eastern_Whipbird,0,
38,before.afterBefore,0.477249326,0.132563902,3.600145444,0.000318039,0.054042638,8770,TRUE,Eastern_Whipbird,0,
39,(Intercept),-0.496588861,0.107192075,-4.632701265,3.61E-06,0.075660453,8770,TRUE,Eastern_Yellow_Robin,0,
40,before.afterBefore,0.296330753,0.110082135,2.691905943,0.007104498,0.075660453,8770,TRUE,Eastern_Yellow_Robin,0,
41,(Intercept),-2.620271171,0.200533428,-13.06650568,5.12E-39,0.039964635,8770,TRUE,Eurasian_Blackbird,0,
42,before.afterBefore,-0.196995821,0.205728357,-0.957553075,0.338288171,0.039964635,8770,TRUE,Eurasian_Blackbird,0,
43,(Intercept),-2.574935828,0.211276643,-12.18750822,3.62E-34,0.032695845,8770,TRUE,European_Starling,0,
44,before.afterBefore,-0.264004704,0.218960735,-1.205717106,0.227926587,0.032695845,8770,TRUE,European_Starling,0,
45,(Intercept),-2.849018243,0.268811949,-10.59855505,3.03E-26,0.145778017,8770,TRUE,Fan-tailed_Cuckoo,0,
46,before.afterBefore,1.007405418,0.272048669,3.703033809,0.000213036,0.145778017,8770,TRUE,Fan-tailed_Cuckoo,0,
47,(Intercept),-1.592296357,0.140222276,-11.35551645,6.96E-30,0.033771827,8770,TRUE,Galah,0,
48,before.afterBefore,-0.296997956,0.14510329,-2.046803741,0.040677358,0.033771827,8770,TRUE,Galah,0,
49,(Intercept),-2.518357641,0.178142562,-14.13675434,2.25E-45,0.052663554,8770,TRUE,Gang-gang_Cockatoo,0,
50,before.afterBefore,-0.279624364,0.182907233,-1.528776963,0.126319745,0.052663554,8770,TRUE,Gang-gang_Cockatoo,0,
51,(Intercept),-0.899638277,0.116678363,-7.710412242,1.25E-14,0.06436091,8771,TRUE,Golden_Whistler,0,
52,before.afterBefore,0.003964303,0.119970374,0.033044012,0.97363949,0.06436091,8771,TRUE,Golden_Whistler,0,
53,(Intercept),-1.584757016,0.131829686,-12.02124547,2.75E-33,0.045544071,8770,TRUE,Gray_Butcherbird,0,
54,before.afterBefore,-0.271127872,0.135826268,-1.996137251,0.045918985,0.045544071,8770,TRUE,Gray_Butcherbird,0,
55,(Intercept),-0.000714683,0.103128927,-0.006929999,0.994470705,0.078173664,8772,TRUE,Gray_Fantail,0,
56,before.afterBefore,0.230500045,0.106017825,2.17416312,0.029692887,0.078173664,8772,TRUE,Gray_Fantail,0,
57,(Intercept),-0.429993749,0.10828232,-3.971043004,7.16E-05,0.053934049,8770,TRUE,Gray_Shrikethrush,0,
58,before.afterBefore,-0.058289887,0.111441338,-0.523054443,0.600936367,0.053934049,8770,TRUE,Gray_Shrikethrush,0,
61,(Intercept),-2.117268309,0.172881836,-12.24691015,1.75E-34,0.032873247,8770,TRUE,Jacky-winter,0,
62,before.afterBefore,-0.427638703,0.179841061,-2.377870213,0.017412954,0.032873247,8770,TRUE,Jacky-winter,0,
63,(Intercept),-0.611109189,0.110043756,-5.553329048,2.80E-08,0.062240283,8770,TRUE,Laughing_Kookaburra,0,
64,before.afterBefore,-0.055074063,0.11323444,-0.486372018,0.626703426,0.062240283,8770,TRUE,Laughing_Kookaburra,0,
65,(Intercept),-3.058612182,0.213843079,-14.30306838,2.09E-46,0.135847803,8770,TRUE,Leaden_Flycatcher,0,
66,before.afterBefore,-0.2307483,0.205843713,-1.120987841,0.262293038,0.135847803,8770,TRUE,Leaden_Flycatcher,0,
67,(Intercept),-0.986110929,0.115392598,-8.54570349,1.28E-17,0.042910629,8770,TRUE,Lewin's_Honeyeater,0,
68,before.afterBefore,0.177605874,0.11838854,1.500194819,0.133563945,0.042910629,8770,TRUE,Lewin's_Honeyeater,0,
73,(Intercept),-3.336425012,0.26254602,-12.70796262,5.34E-37,0.060115009,8770,TRUE,Little_Raven,0,
74,before.afterBefore,0.396769507,0.266538596,1.488600573,0.136592581,0.060115009,8770,TRUE,Little_Raven,0,
75,(Intercept),-1.328101274,0.124482349,-10.66899275,1.42E-26,0.031524861,8770,TRUE,Little_Wattlebird,0,
76,before.afterBefore,-0.377590688,0.128667072,-2.934633396,0.00333942,0.031524861,8770,TRUE,Little_Wattlebird,0,
77,(Intercept),-1.437772732,0.131733779,-10.91422976,9.86E-28,0.025452528,8770,TRUE,Magpie-lark,0,
78,before.afterBefore,-0.604076019,0.137150187,-4.40448558,1.06E-05,0.025452528,8770,TRUE,Magpie-lark,0,
81,(Intercept),-1.394538634,0.131584198,-10.5980707,3.04E-26,0.031864143,8772,TRUE,Masked_Lapwing,0,
82,before.afterBefore,-0.667312062,0.137281931,-4.860887775,1.17E-06,0.031864143,8772,TRUE,Masked_Lapwing,0,
83,(Intercept),-3.088358,0.247560418,-12.4751688,1.02E-35,0.038231367,8770,TRUE,Mistletoebird,0,
84,before.afterBefore,0.236609605,0.252643602,0.936535114,0.348997742,0.038231367,8770,TRUE,Mistletoebird,0,
85,(Intercept),-1.34554467,0.125040167,-10.76089952,5.27E-27,0.035318643,8770,TRUE,New_Holland_Honeyeater,0,
86,before.afterBefore,0.076948515,0.128357269,0.599487009,0.548848171,0.035318643,8770,TRUE,New_Holland_Honeyeater,0,
87,(Intercept),-1.910087842,0.157631197,-12.11744804,8.54E-34,0.050353834,8770,TRUE,Noisy_Friarbird,0,
88,before.afterBefore,-0.072608327,0.162243401,-0.447527155,0.654494486,0.050353834,8770,TRUE,Noisy_Friarbird,0,
89,(Intercept),-2.065819983,0.181573672,-11.37731017,5.42E-30,0.041656801,8770,TRUE,Noisy_Miner,0,
90,before.afterBefore,-0.324211589,0.188778948,-1.717413901,0.085903574,0.041656801,8770,TRUE,Noisy_Miner,0,
91,(Intercept),-3.505361332,0.302604447,-11.58397162,4.97E-31,0.143826973,8770,TRUE,Olive-backed_Oriole,0,
