"","Term","Estimate","Std. Error","z value","Pr(>|z|)","deviance","N","converged","species"
"43","(Intercept)",-2.85249568568808,0.23792254777576,-11.9891776225284,4.04905029776621e-33,0.210758481520195,8770,TRUE,"European_Starling"
"44","before.afterBefore",-0.67180408964727,0.239339482248932,-2.80690876129054,0.00500194067329644,0.210758481520195,8770,TRUE,"European_Starling"
"45","(Intercept)",-2.82261062239516,0.272315792786801,-10.3652108954438,3.56970138813617e-25,0.181827437192878,8770,TRUE,"Fan-tailed_Cuckoo"
"46","before.afterBefore",0.881307140141465,0.27560602560243,3.19770635716353,0.00138525259326872,0.181827437192878,8770,TRUE,"Fan-tailed_Cuckoo"
"47","(Intercept)",-1.85854510047228,0.154960386644275,-11.9936787763619,3.83487477090622e-33,0.136330747039373,8770,TRUE,"Galah"
"48","before.afterBefore",-0.503070523432795,0.156276368754794,-3.21910809318932,0.0012859000202334,0.136330747039373,8770,TRUE,"Galah"
"49","(Intercept)",-194.108951711945,62.7263310538107,-3.09453699030198,0.00197120352756702,0.221985407783974,8770,TRUE,"Gang-gang_Cockatoo"
"50","before.afterBefore",-0.486726289976858,0.199115060266153,-2.44444739301117,0.0145074236653056,0.221985407783974,8770,TRUE,"Gang-gang_Cockatoo"
"51","(Intercept)",-0.94169740853144,0.121574733347481,-7.74583157702607,9.49583097617696e-15,0.124449345721174,8771,TRUE,"Golden_Whistler"
"52","before.afterBefore",-0.05033748552511,0.124812352193323,-0.403305319069235,0.686723629224325,0.124449345721174,8771,TRUE,"Golden_Whistler"
"53","(Intercept)",-1.92557984146243,0.298609265579261,-6.44849327674771,1.12967573784425e-10,0.139956081406293,8770,TRUE,"Gray_Butcherbird"
"54","before.afterBefore",-0.399139724815205,0.142933552618819,-2.79248446220074,0.0052304979561637,0.139956081406293,8770,TRUE,"Gray_Butcherbird"
"55","(Intercept)",0.151173164343472,0.106141686118542,1.4242581767039,0.154371749582823,0.108463242455089,8772,TRUE,"Gray_Fantail"
"56","before.afterBefore",0.0785664531491576,0.109104732615428,0.720101239110205,0.471462664654982,0.108463242455089,8772,TRUE,"Gray_Fantail"
"57","(Intercept)",-0.316285127408043,0.112381172098919,-2.81439605496947,0.00488689790346317,0.100405956545911,8770,TRUE,"Gray_Shrikethrush"
"58","before.afterBefore",-0.215653043927676,0.11585657189106,-1.8613794660734,0.0626906082453232,0.100405956545911,8770,TRUE,"Gray_Shrikethrush"
"59","(Intercept)",-6.72156626918913,0.736726190446987,-9.12356090545799,7.26956221271649e-20,0.287092322039105,8771,TRUE,"Great_Cormorant"
"60","before.afterBefore",-1.1021138967418,0.167845729908515,-6.56623136818862,5.16046137926311e-11,0.287092322039105,8771,TRUE,"Great_Cormorant"
"61","(Intercept)",-2.59330198177861,0.319965347934381,-8.104946359099,5.27687930236133e-16,0.146833114480491,8770,TRUE,"Jacky-winter"
"62","before.afterBefore",-0.53025759542302,0.191305159320193,-2.7717893093281,0.00557491073973404,0.146833114480491,8770,TRUE,"Jacky-winter"
"63","(Intercept)",-0.566938482790482,0.115275865539928,-4.91810215551246,8.73873075724349e-07,0.117635796947717,8770,TRUE,"Laughing_Kookaburra"
"64","before.afterBefore",-0.167085760757181,0.118599964985733,-1.40881796025219,0.15888900300655,0.117635796947717,8770,TRUE,"Laughing_Kookaburra"
"65","(Intercept)",-12.3276928709765,6.86002275268953,-1.79703381685481,0.0723302513429508,0.210293271606505,8770,TRUE,"Leaden_Flycatcher"
"66","before.afterBefore",-0.219405186240633,0.216011960515527,-1.01570850853355,0.309768215061396,0.210293271606505,8770,TRUE,"Leaden_Flycatcher"
"67","(Intercept)",-5.09855731443924,0.9005639315014,-5.66151623010155,1.50041312632031e-08,0.295772575263071,8770,TRUE,"Lewin's_Honeyeater"
"68","before.afterBefore",0.10422497832189,0.134240712760138,0.776403642225285,0.437510694794713,0.295772575263071,8770,TRUE,"Lewin's_Honeyeater"
"69","(Intercept)",-4.84114544647517,0.364972323660508,-13.2644179644107,3.7230017722272e-40,0.210904767087882,8770,TRUE,"Little_Black_Cormorant"
"70","before.afterBefore",-0.460476722173976,0.20632127081062,-2.23184318497458,0.0256253290092817,0.210904767087882,8770,TRUE,"Little_Black_Cormorant"
"71","(Intercept)",-2.95219961693174,0.197554204610691,-14.9437447952549,1.7108448760998e-50,0.171556899323366,8770,TRUE,"Little_Pied_Cormorant"
"72","before.afterBefore",-0.212043026968988,0.191467110325836,-1.10746449668633,0.26809315401906,0.171556899323366,8770,TRUE,"Little_Pied_Cormorant"
"73","(Intercept)",-20.722547414544,6.11203043184744,-3.39045226387727,0.000697774054218747,0.386743364594508,8770,TRUE,"Little_Raven"
"74","before.afterBefore",-0.711335275220687,0.309031602213078,-2.30182049384781,0.0213452973304532,0.386743364594508,8770,TRUE,"Little_Raven"
"75","(Intercept)",-7.28222203735073,0.732907316529625,-9.9360749621557,2.90030624396334e-23,0.320726966464712,8770,TRUE,"Little_Wattlebird"
"76","before.afterBefore",-0.42530957421791,0.148876640684517,-2.85679185305624,0.00427946372421647,0.320726966464712,8770,TRUE,"Little_Wattlebird"
"77","(Intercept)",-1.57863002056,0.138137497595553,-11.4279616182276,3.03141404983447e-30,0.0818838040203212,8770,TRUE,"Magpie-lark"
"78","before.afterBefore",-0.651357089148016,0.142463402825448,-4.57210115882241,4.82857714307921e-06,0.0818838040203212,8770,TRUE,"Magpie-lark"
"79","(Intercept)",-1.81905681474416,0.141440216277135,-12.8609589452263,7.46448450461017e-38,0.0748456061283961,8770,TRUE,"Maned_Duck"
"80","before.afterBefore",-0.564117177055715,0.144884815655901,-3.89355623294219,9.87852898644052e-05,0.0748456061283961,8770,TRUE,"Maned_Duck"
"81","(Intercept)",-1.62038166449059,0.14225181265835,-11.390938605347,4.63964714094295e-30,0.118673319118881,8772,TRUE,"Masked_Lapwing"
"82","before.afterBefore",-0.731643939005382,0.145761806047872,-5.01944891355897,5.18199237509438e-07,0.118673319118881,8772,TRUE,"Masked_Lapwing"
"83","(Intercept)",-3.70270488312387,0.820924501440829,-4.51040854137639,6.47028932937551e-06,0.120530606990539,8770,TRUE,"Mistletoebird"
"84","before.afterBefore",0.216571937972569,0.25780285581222,0.840068032955838,0.400870242374659,0.120530606990539,8770,TRUE,"Mistletoebird"
"85","(Intercept)",-3.866779817186,0.296923421310579,-13.0228184766246,9.07580154965966e-39,0.294397236507866,8770,TRUE,"New_Holland_Honeyeater"
"86","before.afterBefore",0.496244369198524,0.145154154837432,3.41874037125773,0.000629117234716092,0.294397236507866,8770,TRUE,"New_Holland_Honeyeater"
"87","(Intercept)",-10.146618357432,2.58142562451821,-3.93062587628329,8.47250219021769e-05,0.288430743338232,8770,TRUE,"Noisy_Friarbird"
"88","before.afterBefore",0.0661763276945076,0.179991837935268,0.367662936573309,0.713124580012677,0.288430743338232,8770,TRUE,"Noisy_Friarbird"
"89","(Intercept)",-41.663014463912,7.4079356340347,-5.62410589429223,1.86471242431716e-08,0.283596316557128,8770,TRUE,"Noisy_Miner"
"90","before.afterBefore",-0.223158347054613,0.205698599971739,-1.08488024267191,0.277974699627753,0.283596316557128,8770,TRUE,"Noisy_Miner"
"91","(Intercept)",-14.3938230376796,2.69623867628651,-5.33848251798835,9.37277422163659e-08,0.22764812266105,8770,TRUE,"Olive-backed_Oriole"
"92","before.afterBefore",0.875261090906937,0.314855617417348,2.77988081675786,0.00543788522932263,0.22764812266105,8770,TRUE,"Olive-backed_Oriole"
"93","(Intercept)",-2.15328122316718,0.158584237523899,-13.5781541519389,5.39694442100558e-42,0.0780736397315917,8770,TRUE,"Pacific_Black_Duck"
"94","before.afterBefore",-0.348183988172581,0.162253124772688,-2.14593086364516,0.0318784949857474,0.0780736397315917,8770,TRUE,"Pacific_Black_Duck"
"95","(Intercept)",-0.32692938217023,0.13531510224996,-2.41605982432258,0.0156894833294083,0.123909831636203,8770,TRUE,"Pied_Currawong"
"96","before.afterBefore",-0.15813109050011,0.110540734043455,-1.43052325342752,0.152566896756156,0.123909831636203,8770,TRUE,"Pied_Currawong"
"97","(Intercept)",-2.10337355179053,0.15478525754451,-13.5889785962703,4.65531660289907e-42,0.26313946129095,8770,TRUE,"Rainbow_Lorikeet"
"98","before.afterBefore",-0.2413800100005,0.137441511230687,-1.75623803783238,0.0790477722815048,0.26313946129095,8770,TRUE,"Rainbow_Lorikeet"
"99","(Intercept)",-1.84688483400462,0.134416691379665,-13.7399962389197,5.84788306818271e-43,0.110333296851904,8770,TRUE,"Red-browed_Firetail"
"100","before.afterBefore",0.2084237132045,0.136069728958504,1.53174195906616,0.125586123798077,0.110333296851904,8770,TRUE,"Red-browed_Firetail"
"101","(Intercept)",-1.08349776080429,0.13581313590354,-7.97785688104453,1.48895896525312e-15,0.157160425564084,8770,TRUE,"Red_Wattlebird"
"102","before.afterBefore",0.0264974136284011,0.121382204299198,0.21829735076393,0.827197438473871,0.157160425564084,8770,TRUE,"Red_Wattlebird"
"103","(Intercept)",-10.4360262307011,14.6541539160313,-0.712154812246401,0.476368915464563,0.194146218370269,8770,TRUE,"Rose_Robin"
"104","before.afterBefore",0.00890626764636374,0.229028030394995,0.038887238522741,0.9689802910576,0.194146218370269,8770,TRUE,"Rose_Robin"
"105","(Intercept)",-8.16705225443606,1.1051470088545,-7.39001435012823,1.46812968270329e-13,0.288529797131028,8770,TRUE,"Rufous_Fantail"
"106","before.afterBefore",0.480527133806304,0.194693085373554,2.46812634811517,0.01358223692541,0.288529797131028,8770,TRUE,"Rufous_Fantail"
