species_name,X99_Body_mass_average_8,X163_Food_Fruit_10,X164_Food_Nectar_or_pollen_10,X165_Food_Seeds_10,X166_Food_Foliage_or_herbs_10,X167_Food_Corms_or_tubers,X168_Food_Terrestrial_invertebrates_10,X169_Food_Terrestrial_vertebrates_10,X170_Food_Carrion_10,X171_Food_Intertidal_invertebrates_10,X172_Food_Fish_or_invertebrates_Marine_10,X173_Food_fish_or_invertebrates_Inland_waters_10,X115_Feeding_habitat_Terrestrial_Arid_shrubland_9,X116_Feeding_habitat_Terrestrial_Chenopod_shrubland_9,X117_Feeding_habitat_Terrestrial_Heath_9,X118_Feeding_habitat_Terrestrial_Triodia_hummock_grassland_9,X119_Feeding_habitat_Terrestrial_Other_grassland_9,X120_Feeding_habitat_Terrestrial_Mallee_9,X121_Feeding_habitat_Terrestrial_Tropical_savanna_woodland_9,X122_Feeding_habitat_Terrestrial_Temperate_dry_sclerophyll_forest_and_woodland_9,X123_Feeding_habitat_Terrestrial_Temperate_wet_sclerophyll_forest_and_woodland_9,X124_Feeding_habitat_Terrestrial_Rainforest_9,X125_Feeding_habitat_Terrestrial_Mangrove_trees_9,X126_Feeding_habitat_Inland_waters_Rivers_and_streams_9,X127_Feeding_habitat_Inland_waters_Deep_open_water_9,X128_Feeding_habitat_Inland_waters_Shallow_open_water_9,X129_Feeding_habitat_Inland_waters_Reeds_and_tall_wet_grassland_9,X130_Feeding_habitat_Inland_waters_Low_marshland_and_wet_grassland_9,X131_Feeding_habitat_Coastal_Sandy_9,X132_Feeding_habitat_Coastal_Rocky_9,X133_Feeding_habitat_Coastal_Soft_mud_9,X134_Feeding_habitat_Coastal_Saltmarsh_9,X135_Feeding_habitat_Coastal_Mangrove_floor_9,X136_Feeding_habitat_Marine_Very_cold_pelagic_9,X137_Feeding_habitat_Marine_Cold_pelagic_9,X138_Feeding_habitat_Marine_Temperate_pelagic_9,X139_Feeding_habitat_Marine_Warm_pelagic_9,X140_Feeding_habitat_Marine_Cold_inshore_9,X141_Feeding_habitat_Marine_Temperate_inshore_9,X142_Feeding_habitat_Marine_Warm_inshore_9,X143_Feeding_habitat_Other_non.Australian_habitat_9,X144_Feeding_habitat_Agricultural_landscapes_9,X145_Feeding_habitat_Urban_landscapes_9,X193_National_movement_local_dispersal_13,X194_National_movement_Partial_migrant_13,X195_National_movement_Total_migrant_13,X196_National_movement_Nomadic_or_opportunistic_13,X197_National_movement_Irruptive_13,Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,foodspec,habitatspec
White-throated_Treecreeper,20.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,before.afterBefore,0.137517172,0.108358143,1.269098649,0.204405882,0.049898512,9501,TRUE,1,3
Variegated_Fairywren,8,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,-0.293684788,0.247999041,-1.184217436,0.236327002,0.059406503,9537,TRUE,1,13
Superb_Fairywren,10.6,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,0.250695597,0.110706585,2.264504837,0.023543083,0.03830214,9490,TRUE,3,9
Scarlet_Myzomela,8.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,before.afterBefore,0.398039113,0.239945459,1.658873293,0.097141327,0.04694697,9531,TRUE,2,5
Noisy_Friarbird,100,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,before.afterBefore,-0.068991725,0.171661857,-0.401904806,0.687754086,0.04299051,9532,TRUE,4,5
New_Holland_Honeyeater,20.9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,0.10568636,0.130747227,0.808325823,0.418903041,0.032904179,9558,TRUE,2,6
White-cheeked_Honeyeater,18.3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,before.afterBefore,0.606998418,0.293413855,2.06874491,0.03857003,0.039554225,9548,TRUE,2,4
White-eared_Honeyeater,21.6,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,-0.280546338,0.145935652,-1.922397544,0.054555754,0.023442313,9555,TRUE,3,8
Brown-headed_Honeyeater,15.3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,before.afterBefore,-0.166201989,0.217795066,-0.763111817,0.445396713,0.030045914,9560,TRUE,2,4
White-naped_Honeyeater,14.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,before.afterBefore,0.305836337,0.149489156,2.045876401,0.040768533,0.044029756,9549,TRUE,2,3
Eastern_Spinebill,10.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,before.afterBefore,0.289934011,0.126500266,2.291963641,0.021907741,0.050704303,9516,TRUE,2,5
Lewin's_Honeyeater,33.3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,0.145325689,0.122024044,1.190959458,0.233669501,0.040787802,9496,TRUE,3,7
Little_Wattlebird,69.7,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,-0.374064406,0.130425859,-2.868023334,0.004130451,0.030616696,9550,TRUE,3,5
Red_Wattlebird,90.9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,before.afterBefore,0.067612988,0.117573967,0.575067676,0.565245528,0.023896739,9553,TRUE,2,7
Yellow-faced_Honeyeater,16.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,0.577624455,0.122549206,4.713408388,2.44E-06,0.045993979,9496,TRUE,2,6
Bell_Miner,31.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,before.afterBefore,-0.073369132,0.133040162,-0.551481074,0.581303937,0.017589684,9542,TRUE,2,3
Noisy_Miner,71.3,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,-0.295099738,0.199409261,-1.479869776,0.138908003,0.039785852,9522,TRUE,4,7
Spotted_Pardalote,8.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,0.391323128,0.134185519,2.916284341,0.003542275,0.044852723,9514,TRUE,1,9
Striated_Pardalote,11.1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,0.195657902,0.191953156,1.019300262,0.308060439,0.047081576,9540,TRUE,1,9
Brown_Gerygone,5.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,before.afterBefore,0.027893014,0.158875974,0.175564707,0.860635931,0.038086645,9527,TRUE,1,4
White-browed_Scrubwren,13.1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,0.179697617,0.121383166,1.480416294,0.138762184,0.06194479,9515,TRUE,2,8
Yellow-rumped_Thornbill,9.1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,-0.35218793,0.210206712,-1.675436178,0.093848683,0.032811465,9553,TRUE,1,8
Striated_Thornbill,7.3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,-0.442441243,0.120062708,-3.685084647,0.000228627,0.034296498,9553,TRUE,2,8
Brown_Thornbill,9,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,0.200203861,0.112011711,1.787347586,0.073881327,0.050821323,9493,TRUE,2,10
Black-faced_Cuckooshrike,115,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,0.247352491,0.171454332,1.442672744,0.149112681,0.068228355,9519,TRUE,4,11
Rufous_Whistler,23.5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,0.178435919,0.143577066,1.242788452,0.213945799,0.15154434,9507,TRUE,1,10
Golden_Whistler,38.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,-0.008586319,0.123978683,-0.069256415,0.944785518,0.062517544,9501,TRUE,2,9
Gray_Shrikethrush,67.5,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,-0.051180784,0.114563089,-0.446747592,0.655057315,0.051836727,9482,TRUE,4,10
Eastern_Whipbird,58.7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,before.afterBefore,0.509424571,0.139771409,3.644697962,0.000267706,0.051287704,9501,TRUE,2,5
Olive-backed_Oriole,97.2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,before.afterBefore,1.083673739,0.390995255,2.771577724,0.005578535,0.134426733,9537,TRUE,3,4
Pied_Currawong,308,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,-0.252518697,0.107227112,-2.354989262,0.018523241,0.032260381,9506,TRUE,4,7
